Takim No;Paket Numarasi;Gonderme Saati;Basinc;Yukseklik;Inis Hizi;Sicaklik;Pil Gerilimi;GPS Latitude;GPS Longitude;GPS Altitude;Uydu Statusu;Pitch;Roll;Yaw;Donus Sayisi;Video Aktarim Bilgisi
50618;33;2020-09-07T15:51:33;89,93;1051;0;24,6;0;0.0;0.0;0.0;ASCEND;1.5;150.0;0.6000000238418579;0;No

50618;34;2020-09-07T15:51:34;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;76.4000015258789;0.699999988079071;0;No

50618;35;2020-09-07T15:51:35;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;45.5;0.699999988079071;0;No

50618;35;2020-09-07T15:51:35;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;45.5;0.699999988079071;0;No

50618;36;2020-09-07T15:51:36;89,93;1051;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;22.200000762939453;0.6000000238418579;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;37;2020-09-07T15:51:37;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;4.5;0.5;0;No

50618;39;2020-09-07T15:51:40;89,93;1051;0;24,6;0;0.0;0.0;0.0;ASCEND;0.800000011920929;-42.400001525878906;0.10000000149011612;0;No

50618;39;2020-09-07T15:51:40;89,93;1051;0;24,6;0;0.0;0.0;0.0;ASCEND;0.800000011920929;-42.400001525878906;0.10000000149011612;0;No

50618;40;2020-09-07T15:51:41;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;1.7999999523162842;-154.8000030517578;0.30000001192092896;0;No

50618;40;2020-09-07T15:51:41;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;1.7999999523162842;-154.8000030517578;0.30000001192092896;0;No

50618;41;2020-09-07T15:51:42;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;89.30000305175781;0.8999999761581421;0;No

50618;42;2020-09-07T15:51:43;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;55.400001525878906;0.800000011920929;0;No

50618;42;2020-09-07T15:51:43;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;55.400001525878906;0.800000011920929;0;No

50618;43;2020-09-07T15:51:44;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;29.600000381469727;0.800000011920929;0;No

50618;43;2020-09-07T15:51:44;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;29.600000381469727;0.800000011920929;0;No

50618;44;2020-09-07T15:51:45;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;10.399999618530273;0.699999988079071;0;No

50618;44;2020-09-07T15:51:45;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.10000000149011612;10.399999618530273;0.699999988079071;0;No

50618;45;2020-09-07T15:51:46;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.20000000298023224;-5.699999809265137;0.5;0;No

50618;45;2020-09-07T15:51:46;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.20000000298023224;-5.699999809265137;0.5;0;No

50618;45;2020-09-07T15:51:46;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.20000000298023224;-5.699999809265137;0.5;0;No

50618;46;2020-09-07T15:51:47;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.5;-26.899999618530273;0.20000000298023224;0;No

50618;46;2020-09-07T15:51:47;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.5;-26.899999618530273;0.20000000298023224;0;No

50618;46;2020-09-07T15:51:47;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.5;-26.899999618530273;0.20000000298023224;0;No

50618;47;2020-09-07T15:51:48;89,93;1051;0;24,6;0;0.0;0.0;0.0;ASCEND;1.7999999523162842;-112.4000015258789;0.10000000149011612;0;No

50618;48;2020-09-07T15:51:49;89,94;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;100.30000305175781;-1.2999999523162842;0;No

50618;49;2020-09-07T15:51:50;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;63.900001525878906;-1.2000000476837158;0;No

50618;50;2020-09-07T15:51:51;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;36.099998474121094;-1.2000000476837158;0;No

50618;50;2020-09-07T15:51:51;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;36.099998474121094;-1.2000000476837158;0;No

50618;51;2020-09-07T15:51:52;89,93;1050;0;24,6;0;0.0;0.0;0.0;ASCEND;0.0;15.199999809265137;-1.100000023841858;0;No

